Ratio,A Chi0n,A EState_VSA2,A ExactMolWt,A FpDensityMorgan3,A HallKierAlpha,A Kappa1,A Kappa2,A Kappa3,A LabuteASA,A MaxPartialCharge,A PEOE_VSA1,A PEOE_VSA14,A SMR_VSA1,A qed,M FpDensityMorgan2,M FpDensityMorgan3,M Kappa3,M MaxAbsPartialCharge,M MinPartialCharge,M NOCount,M NumHAcceptors,M SMR_VSA5,M SlogP_VSA2,M TPSA,M VSA_EState4,M VSA_EState5,M VSA_EState8,M fr_NH0,Time(s),Stability
0.5,1.377964473,85.87524468,211.823789,1,2.531948052,8.818687552,3.531948052,0.926900863,83.18596902,1,16.98145085,68.89379383,85.87524468,0.375412648,0,0,0,0,0,0,0,0,0,0,0,0,0,0,190,0
0.5,1.377964473,31.26763637,41.98485723,1,0.887402597,13.06155996,1.887402597,0.014286836,31.81913654,1,12.40703316,18.86060321,31.26763637,0.236824831,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,0
0.5,1.377964473,31.26763637,41.98485723,1,0.887402597,13.06155996,1.887402597,0.014286836,31.81913654,1,12.40703316,18.86060321,31.26763637,0.236824831,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110,0
0.5,1.377964473,31.26763637,41.98485723,1,0.887402597,13.06155996,1.887402597,0.014286836,31.81913654,1,12.40703316,18.86060321,31.26763637,0.236824831,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150,0
0.5,1.377964473,31.26763637,41.98485723,1,0.887402597,13.06155996,1.887402597,0.014286836,31.81913654,1,12.40703316,18.86060321,31.26763637,0.236824831,0,0,0,0,0,0,0,0,0,0,0,0,0,0,190,0
0.5,1.377964473,18.55757951,53.00322681,1,0.25,56.25,1.25,2.25,19.65732138,-0.368859027,18.55757951,0,12.40703316,0.313885693,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,0
0.5,1.377964473,18.55757951,53.00322681,1,0.25,56.25,1.25,2.25,19.65732138,-0.368859027,18.55757951,0,12.40703316,0.313885693,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110,0
0.5,1.377964473,18.55757951,53.00322681,1,0.25,56.25,1.25,2.25,19.65732138,-0.368859027,18.55757951,0,12.40703316,0.313885693,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150,0
0.5,1.377964473,18.55757951,53.00322681,1,0.25,56.25,1.25,2.25,19.65732138,-0.368859027,18.55757951,0,12.40703316,0.313885693,0,0,0,0,0,0,0,0,0,0,0,0,0,0,190,0
0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.344827586,2.172413793,4.036974405,0.505593144,-0.505593144,5,5,13.8474744,5.106527395,69.67,4.776897593,0.105327906,3.954250847,4,70,0
0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.344827586,2.172413793,4.036974405,0.505593144,-0.505593144,5,5,13.8474744,5.106527395,69.67,4.776897593,0.105327906,3.954250847,4,110,0
0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.344827586,2.172413793,4.036974405,0.505593144,-0.505593144,5,5,13.8474744,5.106527395,69.67,4.776897593,0.105327906,3.954250847,4,150,0
0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.344827586,2.172413793,4.036974405,0.505593144,-0.505593144,5,5,13.8474744,5.106527395,69.67,4.776897593,0.105327906,3.954250847,4,190,0
0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.85,1.15,4.72349969,0.354449989,-0.354449989,4,4,67.22570969,11.56648989,58.2,12.37673254,-0.259454208,12.8050886,0,70,0
0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.85,1.15,4.72349969,0.354449989,-0.354449989,4,4,67.22570969,11.56648989,58.2,12.37673254,-0.259454208,12.8050886,0,110,0
0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.85,1.15,4.72349969,0.354449989,-0.354449989,4,4,67.22570969,11.56648989,58.2,12.37673254,-0.259454208,12.8050886,0,150,0
0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.85,1.15,4.72349969,0.354449989,-0.354449989,4,4,67.22570969,11.56648989,58.2,12.37673254,-0.259454208,12.8050886,0,190,0
0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.066666667,1.488888889,5.934497399,0.50747905,-0.50747905,15,11,18.69056362,96.46453589,231.67,-0.635866338,-6.619284205,-3.269257575,2,70,1
0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.066666667,1.488888889,5.934497399,0.50747905,-0.50747905,15,11,18.69056362,96.46453589,231.67,-0.635866338,-6.619284205,-3.269257575,2,110,1
0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.066666667,1.488888889,5.934497399,0.50747905,-0.50747905,15,11,18.69056362,96.46453589,231.67,-0.635866338,-6.619284205,-3.269257575,2,150,1
0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.066666667,1.488888889,5.934497399,0.50747905,-0.50747905,15,11,18.69056362,96.46453589,231.67,-0.635866338,-6.619284205,-3.269257575,2,190,1
0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.666666667,1.916666667,5.380764831,0.341625523,-0.341625523,3,2,26.68911765,30.44135868,46.33,5.242280801,0.063611111,5.937163643,1,70,0
0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.666666667,1.916666667,5.380764831,0.341625523,-0.341625523,3,2,26.68911765,30.44135868,46.33,5.242280801,0.063611111,5.937163643,1,110,0
0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.666666667,1.916666667,5.380764831,0.341625523,-0.341625523,3,2,26.68911765,30.44135868,46.33,5.242280801,0.063611111,5.937163643,1,150,0
0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.666666667,1.916666667,5.380764831,0.341625523,-0.341625523,3,2,26.68911765,30.44135868,46.33,5.242280801,0.063611111,5.937163643,1,190,0
0.5,1.255928946,61.2616872,365.8133263,0.666666667,1.882077922,20.77102858,9.103334166,3.882077922,60.67643356,2,33.9629017,27.29878549,33.9629017,0.374141795,1.344827586,2.172413793,4.036974405,0.505593144,-0.505593144,5,5,13.8474744,5.106527395,69.67,4.776897593,0.105327906,3.954250847,4,70,1
0.5,1.255928946,61.2616872,365.8133263,0.666666667,1.882077922,20.77102858,9.103334166,3.882077922,60.67643356,2,33.9629017,27.29878549,33.9629017,0.374141795,1.344827586,2.172413793,4.036974405,0.505593144,-0.505593144,5,5,13.8474744,5.106527395,69.67,4.776897593,0.105327906,3.954250847,4,110,0
0.5,1.255928946,61.2616872,365.8133263,0.666666667,1.882077922,20.77102858,9.103334166,3.882077922,60.67643356,2,33.9629017,27.29878549,33.9629017,0.374141795,1.344827586,2.172413793,4.036974405,0.505593144,-0.505593144,5,5,13.8474744,5.106527395,69.67,4.776897593,0.105327906,3.954250847,4,150,1
0.5,1.255928946,61.2616872,365.8133263,0.666666667,1.882077922,20.77102858,9.103334166,3.882077922,60.67643356,2,33.9629017,27.29878549,33.9629017,0.374141795,1.344827586,2.172413793,4.036974405,0.505593144,-0.505593144,5,5,13.8474744,5.106527395,69.67,4.776897593,0.105327906,3.954250847,4,190,1
0.5,1.255928946,61.2616872,365.8133263,0.666666667,1.882077922,20.77102858,9.103334166,3.882077922,60.67643356,2,33.9629017,27.29878549,33.9629017,0.374141795,0.85,1.15,4.72349969,0.354449989,-0.354449989,4,4,67.22570969,11.56648989,58.2,12.37673254,-0.259454208,12.8050886,0,70,0
0.5,1.255928946,61.2616872,365.8133263,0.666666667,1.882077922,20.77102858,9.103334166,3.882077922,60.67643356,2,33.9629017,27.29878549,33.9629017,0.374141795,0.85,1.15,4.72349969,0.354449989,-0.354449989,4,4,67.22570969,11.56648989,58.2,12.37673254,-0.259454208,12.8050886,0,110,0
0.5,1.255928946,61.2616872,365.8133263,0.666666667,1.882077922,20.77102858,9.103334166,3.882077922,60.67643356,2,33.9629017,27.29878549,33.9629017,0.374141795,0.85,1.15,4.72349969,0.354449989,-0.354449989,4,4,67.22570969,11.56648989,58.2,12.37673254,-0.259454208,12.8050886,0,150,0
0.5,1.255928946,61.2616872,365.8133263,0.666666667,1.882077922,20.77102858,9.103334166,3.882077922,60.67643356,2,33.9629017,27.29878549,33.9629017,0.374141795,0.85,1.15,4.72349969,0.354449989,-0.354449989,4,4,67.22570969,11.56648989,58.2,12.37673254,-0.259454208,12.8050886,0,190,0
0.5,1.255928946,61.2616872,365.8133263,0.666666667,1.882077922,20.77102858,9.103334166,3.882077922,60.67643356,2,33.9629017,27.29878549,33.9629017,0.374141795,1.066666667,1.488888889,5.934497399,0.50747905,-0.50747905,15,11,18.69056362,96.46453589,231.67,-0.635866338,-6.619284205,-3.269257575,2,70,1
0.5,1.255928946,61.2616872,365.8133263,0.666666667,1.882077922,20.77102858,9.103334166,3.882077922,60.67643356,2,33.9629017,27.29878549,33.9629017,0.374141795,1.066666667,1.488888889,5.934497399,0.50747905,-0.50747905,15,11,18.69056362,96.46453589,231.67,-0.635866338,-6.619284205,-3.269257575,2,110,1
0.5,1.255928946,61.2616872,365.8133263,0.666666667,1.882077922,20.77102858,9.103334166,3.882077922,60.67643356,2,33.9629017,27.29878549,33.9629017,0.374141795,1.066666667,1.488888889,5.934497399,0.50747905,-0.50747905,15,11,18.69056362,96.46453589,231.67,-0.635866338,-6.619284205,-3.269257575,2,150,1
0.5,1.255928946,61.2616872,365.8133263,0.666666667,1.882077922,20.77102858,9.103334166,3.882077922,60.67643356,2,33.9629017,27.29878549,33.9629017,0.374141795,1.066666667,1.488888889,5.934497399,0.50747905,-0.50747905,15,11,18.69056362,96.46453589,231.67,-0.635866338,-6.619284205,-3.269257575,2,190,1
0.5,1.255928946,61.2616872,365.8133263,0.666666667,1.882077922,20.77102858,9.103334166,3.882077922,60.67643356,2,33.9629017,27.29878549,33.9629017,0.374141795,1.666666667,1.916666667,5.380764831,0.341625523,-0.341625523,3,2,26.68911765,30.44135868,46.33,5.242280801,0.063611111,5.937163643,1,70,0
0.5,1.255928946,61.2616872,365.8133263,0.666666667,1.882077922,20.77102858,9.103334166,3.882077922,60.67643356,2,33.9629017,27.29878549,33.9629017,0.374141795,1.666666667,1.916666667,5.380764831,0.341625523,-0.341625523,3,2,26.68911765,30.44135868,46.33,5.242280801,0.063611111,5.937163643,1,110,0
0.5,1.255928946,61.2616872,365.8133263,0.666666667,1.882077922,20.77102858,9.103334166,3.882077922,60.67643356,2,33.9629017,27.29878549,33.9629017,0.374141795,1.666666667,1.916666667,5.380764831,0.341625523,-0.341625523,3,2,26.68911765,30.44135868,46.33,5.242280801,0.063611111,5.937163643,1,150,0
0.5,1.255928946,61.2616872,365.8133263,0.666666667,1.882077922,20.77102858,9.103334166,3.882077922,60.67643356,2,33.9629017,27.29878549,33.9629017,0.374141795,1.666666667,1.916666667,5.380764831,0.341625523,-0.341625523,3,2,26.68911765,30.44135868,46.33,5.242280801,0.063611111,5.937163643,1,190,0
0.5,1.377964473,85.87524468,211.823789,1,2.531948052,8.818687552,3.531948052,0.926900863,83.18596902,1,16.98145085,68.89379383,85.87524468,0.375412648,1.344827586,2.172413793,4.036974405,0.505593144,-0.505593144,5,5,13.8474744,5.106527395,69.67,4.776897593,0.105327906,3.954250847,4,70,0
0.5,1.377964473,85.87524468,211.823789,1,2.531948052,8.818687552,3.531948052,0.926900863,83.18596902,1,16.98145085,68.89379383,85.87524468,0.375412648,1.344827586,2.172413793,4.036974405,0.505593144,-0.505593144,5,5,13.8474744,5.106527395,69.67,4.776897593,0.105327906,3.954250847,4,110,0
0.5,1.377964473,85.87524468,211.823789,1,2.531948052,8.818687552,3.531948052,0.926900863,83.18596902,1,16.98145085,68.89379383,85.87524468,0.375412648,1.344827586,2.172413793,4.036974405,0.505593144,-0.505593144,5,5,13.8474744,5.106527395,69.67,4.776897593,0.105327906,3.954250847,4,150,0
0.5,1.377964473,85.87524468,211.823789,1,2.531948052,8.818687552,3.531948052,0.926900863,83.18596902,1,16.98145085,68.89379383,85.87524468,0.375412648,1.344827586,2.172413793,4.036974405,0.505593144,-0.505593144,5,5,13.8474744,5.106527395,69.67,4.776897593,0.105327906,3.954250847,4,190,0
0.5,1.377964473,85.87524468,211.823789,1,2.531948052,8.818687552,3.531948052,0.926900863,83.18596902,1,16.98145085,68.89379383,85.87524468,0.375412648,0.85,1.15,4.72349969,0.354449989,-0.354449989,4,4,67.22570969,11.56648989,58.2,12.37673254,-0.259454208,12.8050886,0,70,0
0.5,1.377964473,85.87524468,211.823789,1,2.531948052,8.818687552,3.531948052,0.926900863,83.18596902,1,16.98145085,68.89379383,85.87524468,0.375412648,0.85,1.15,4.72349969,0.354449989,-0.354449989,4,4,67.22570969,11.56648989,58.2,12.37673254,-0.259454208,12.8050886,0,110,0
0.5,1.377964473,85.87524468,211.823789,1,2.531948052,8.818687552,3.531948052,0.926900863,83.18596902,1,16.98145085,68.89379383,85.87524468,0.375412648,0.85,1.15,4.72349969,0.354449989,-0.354449989,4,4,67.22570969,11.56648989,58.2,12.37673254,-0.259454208,12.8050886,0,150,0
0.5,1.377964473,85.87524468,211.823789,1,2.531948052,8.818687552,3.531948052,0.926900863,83.18596902,1,16.98145085,68.89379383,85.87524468,0.375412648,0.85,1.15,4.72349969,0.354449989,-0.354449989,4,4,67.22570969,11.56648989,58.2,12.37673254,-0.259454208,12.8050886,0,190,0
0.5,1.377964473,85.87524468,211.823789,1,2.531948052,8.818687552,3.531948052,0.926900863,83.18596902,1,16.98145085,68.89379383,85.87524468,0.375412648,1.066666667,1.488888889,5.934497399,0.50747905,-0.50747905,15,11,18.69056362,96.46453589,231.67,-0.635866338,-6.619284205,-3.269257575,2,70,1
0.5,1.377964473,85.87524468,211.823789,1,2.531948052,8.818687552,3.531948052,0.926900863,83.18596902,1,16.98145085,68.89379383,85.87524468,0.375412648,1.066666667,1.488888889,5.934497399,0.50747905,-0.50747905,15,11,18.69056362,96.46453589,231.67,-0.635866338,-6.619284205,-3.269257575,2,110,0
0.5,1.377964473,85.87524468,211.823789,1,2.531948052,8.818687552,3.531948052,0.926900863,83.18596902,1,16.98145085,68.89379383,85.87524468,0.375412648,1.066666667,1.488888889,5.934497399,0.50747905,-0.50747905,15,11,18.69056362,96.46453589,231.67,-0.635866338,-6.619284205,-3.269257575,2,150,0
0.5,1.377964473,85.87524468,211.823789,1,2.531948052,8.818687552,3.531948052,0.926900863,83.18596902,1,16.98145085,68.89379383,85.87524468,0.375412648,1.066666667,1.488888889,5.934497399,0.50747905,-0.50747905,15,11,18.69056362,96.46453589,231.67,-0.635866338,-6.619284205,-3.269257575,2,190,0
0.5,1.377964473,85.87524468,211.823789,1,2.531948052,8.818687552,3.531948052,0.926900863,83.18596902,1,16.98145085,68.89379383,85.87524468,0.375412648,1.666666667,1.916666667,5.380764831,0.341625523,-0.341625523,3,2,26.68911765,30.44135868,46.33,5.242280801,0.063611111,5.937163643,1,70,0
0.5,1.377964473,85.87524468,211.823789,1,2.531948052,8.818687552,3.531948052,0.926900863,83.18596902,1,16.98145085,68.89379383,85.87524468,0.375412648,1.666666667,1.916666667,5.380764831,0.341625523,-0.341625523,3,2,26.68911765,30.44135868,46.33,5.242280801,0.063611111,5.937163643,1,110,0
0.5,1.377964473,85.87524468,211.823789,1,2.531948052,8.818687552,3.531948052,0.926900863,83.18596902,1,16.98145085,68.89379383,85.87524468,0.375412648,1.666666667,1.916666667,5.380764831,0.341625523,-0.341625523,3,2,26.68911765,30.44135868,46.33,5.242280801,0.063611111,5.937163643,1,150,0
0.5,1.377964473,85.87524468,211.823789,1,2.531948052,8.818687552,3.531948052,0.926900863,83.18596902,1,16.98145085,68.89379383,85.87524468,0.375412648,1.666666667,1.916666667,5.380764831,0.341625523,-0.341625523,3,2,26.68911765,30.44135868,46.33,5.242280801,0.063611111,5.937163643,1,190,0
0.5,1.377964473,31.26763637,41.98485723,1,0.887402597,13.06155996,1.887402597,0.014286836,31.81913654,1,12.40703316,18.86060321,31.26763637,0.236824831,1.344827586,2.172413793,4.036974405,0.505593144,-0.505593144,5,5,13.8474744,5.106527395,69.67,4.776897593,0.105327906,3.954250847,4,70,0
0.5,1.377964473,31.26763637,41.98485723,1,0.887402597,13.06155996,1.887402597,0.014286836,31.81913654,1,12.40703316,18.86060321,31.26763637,0.236824831,1.344827586,2.172413793,4.036974405,0.505593144,-0.505593144,5,5,13.8474744,5.106527395,69.67,4.776897593,0.105327906,3.954250847,4,110,0
0.5,1.377964473,31.26763637,41.98485723,1,0.887402597,13.06155996,1.887402597,0.014286836,31.81913654,1,12.40703316,18.86060321,31.26763637,0.236824831,1.344827586,2.172413793,4.036974405,0.505593144,-0.505593144,5,5,13.8474744,5.106527395,69.67,4.776897593,0.105327906,3.954250847,4,150,0
0.5,1.377964473,31.26763637,41.98485723,1,0.887402597,13.06155996,1.887402597,0.014286836,31.81913654,1,12.40703316,18.86060321,31.26763637,0.236824831,1.344827586,2.172413793,4.036974405,0.505593144,-0.505593144,5,5,13.8474744,5.106527395,69.67,4.776897593,0.105327906,3.954250847,4,190,0
0.5,1.377964473,31.26763637,41.98485723,1,0.887402597,13.06155996,1.887402597,0.014286836,31.81913654,1,12.40703316,18.86060321,31.26763637,0.236824831,0.85,1.15,4.72349969,0.354449989,-0.354449989,4,4,67.22570969,11.56648989,58.2,12.37673254,-0.259454208,12.8050886,0,70,0
0.5,1.377964473,31.26763637,41.98485723,1,0.887402597,13.06155996,1.887402597,0.014286836,31.81913654,1,12.40703316,18.86060321,31.26763637,0.236824831,0.85,1.15,4.72349969,0.354449989,-0.354449989,4,4,67.22570969,11.56648989,58.2,12.37673254,-0.259454208,12.8050886,0,110,0
0.5,1.377964473,31.26763637,41.98485723,1,0.887402597,13.06155996,1.887402597,0.014286836,31.81913654,1,12.40703316,18.86060321,31.26763637,0.236824831,0.85,1.15,4.72349969,0.354449989,-0.354449989,4,4,67.22570969,11.56648989,58.2,12.37673254,-0.259454208,12.8050886,0,150,0
0.5,1.377964473,31.26763637,41.98485723,1,0.887402597,13.06155996,1.887402597,0.014286836,31.81913654,1,12.40703316,18.86060321,31.26763637,0.236824831,0.85,1.15,4.72349969,0.354449989,-0.354449989,4,4,67.22570969,11.56648989,58.2,12.37673254,-0.259454208,12.8050886,0,190,0
0.5,1.377964473,31.26763637,41.98485723,1,0.887402597,13.06155996,1.887402597,0.014286836,31.81913654,1,12.40703316,18.86060321,31.26763637,0.236824831,1.066666667,1.488888889,5.934497399,0.50747905,-0.50747905,15,11,18.69056362,96.46453589,231.67,-0.635866338,-6.619284205,-3.269257575,2,70,0
0.5,1.377964473,31.26763637,41.98485723,1,0.887402597,13.06155996,1.887402597,0.014286836,31.81913654,1,12.40703316,18.86060321,31.26763637,0.236824831,1.066666667,1.488888889,5.934497399,0.50747905,-0.50747905,15,11,18.69056362,96.46453589,231.67,-0.635866338,-6.619284205,-3.269257575,2,110,0
0.5,1.377964473,31.26763637,41.98485723,1,0.887402597,13.06155996,1.887402597,0.014286836,31.81913654,1,12.40703316,18.86060321,31.26763637,0.236824831,1.066666667,1.488888889,5.934497399,0.50747905,-0.50747905,15,11,18.69056362,96.46453589,231.67,-0.635866338,-6.619284205,-3.269257575,2,150,0
0.5,1.377964473,31.26763637,41.98485723,1,0.887402597,13.06155996,1.887402597,0.014286836,31.81913654,1,12.40703316,18.86060321,31.26763637,0.236824831,1.066666667,1.488888889,5.934497399,0.50747905,-0.50747905,15,11,18.69056362,96.46453589,231.67,-0.635866338,-6.619284205,-3.269257575,2,190,0
0.5,1.377964473,31.26763637,41.98485723,1,0.887402597,13.06155996,1.887402597,0.014286836,31.81913654,1,12.40703316,18.86060321,31.26763637,0.236824831,1.666666667,1.916666667,5.380764831,0.341625523,-0.341625523,3,2,26.68911765,30.44135868,46.33,5.242280801,0.063611111,5.937163643,1,70,1
0.5,1.377964473,31.26763637,41.98485723,1,0.887402597,13.06155996,1.887402597,0.014286836,31.81913654,1,12.40703316,18.86060321,31.26763637,0.236824831,1.666666667,1.916666667,5.380764831,0.341625523,-0.341625523,3,2,26.68911765,30.44135868,46.33,5.242280801,0.063611111,5.937163643,1,110,0
0.5,1.377964473,31.26763637,41.98485723,1,0.887402597,13.06155996,1.887402597,0.014286836,31.81913654,1,12.40703316,18.86060321,31.26763637,0.236824831,1.666666667,1.916666667,5.380764831,0.341625523,-0.341625523,3,2,26.68911765,30.44135868,46.33,5.242280801,0.063611111,5.937163643,1,150,1
0.5,1.377964473,31.26763637,41.98485723,1,0.887402597,13.06155996,1.887402597,0.014286836,31.81913654,1,12.40703316,18.86060321,31.26763637,0.236824831,1.666666667,1.916666667,5.380764831,0.341625523,-0.341625523,3,2,26.68911765,30.44135868,46.33,5.242280801,0.063611111,5.937163643,1,190,0
0.5,1.377964473,18.55757951,53.00322681,1,0.25,56.25,1.25,2.25,19.65732138,-0.368859027,18.55757951,0,12.40703316,0.313885693,1.344827586,2.172413793,4.036974405,0.505593144,-0.505593144,5,5,13.8474744,5.106527395,69.67,4.776897593,0.105327906,3.954250847,4,70,0
0.5,1.377964473,18.55757951,53.00322681,1,0.25,56.25,1.25,2.25,19.65732138,-0.368859027,18.55757951,0,12.40703316,0.313885693,1.344827586,2.172413793,4.036974405,0.505593144,-0.505593144,5,5,13.8474744,5.106527395,69.67,4.776897593,0.105327906,3.954250847,4,110,0
0.5,1.377964473,18.55757951,53.00322681,1,0.25,56.25,1.25,2.25,19.65732138,-0.368859027,18.55757951,0,12.40703316,0.313885693,1.344827586,2.172413793,4.036974405,0.505593144,-0.505593144,5,5,13.8474744,5.106527395,69.67,4.776897593,0.105327906,3.954250847,4,150,0
0.5,1.377964473,18.55757951,53.00322681,1,0.25,56.25,1.25,2.25,19.65732138,-0.368859027,18.55757951,0,12.40703316,0.313885693,1.344827586,2.172413793,4.036974405,0.505593144,-0.505593144,5,5,13.8474744,5.106527395,69.67,4.776897593,0.105327906,3.954250847,4,190,0
0.5,1.377964473,18.55757951,53.00322681,1,0.25,56.25,1.25,2.25,19.65732138,-0.368859027,18.55757951,0,12.40703316,0.313885693,0.85,1.15,4.72349969,0.354449989,-0.354449989,4,4,67.22570969,11.56648989,58.2,12.37673254,-0.259454208,12.8050886,0,70,1
0.5,1.377964473,18.55757951,53.00322681,1,0.25,56.25,1.25,2.25,19.65732138,-0.368859027,18.55757951,0,12.40703316,0.313885693,0.85,1.15,4.72349969,0.354449989,-0.354449989,4,4,67.22570969,11.56648989,58.2,12.37673254,-0.259454208,12.8050886,0,110,1
0.5,1.377964473,18.55757951,53.00322681,1,0.25,56.25,1.25,2.25,19.65732138,-0.368859027,18.55757951,0,12.40703316,0.313885693,0.85,1.15,4.72349969,0.354449989,-0.354449989,4,4,67.22570969,11.56648989,58.2,12.37673254,-0.259454208,12.8050886,0,150,1
0.5,1.377964473,18.55757951,53.00322681,1,0.25,56.25,1.25,2.25,19.65732138,-0.368859027,18.55757951,0,12.40703316,0.313885693,0.85,1.15,4.72349969,0.354449989,-0.354449989,4,4,67.22570969,11.56648989,58.2,12.37673254,-0.259454208,12.8050886,0,190,0
0.5,1.377964473,18.55757951,53.00322681,1,0.25,56.25,1.25,2.25,19.65732138,-0.368859027,18.55757951,0,12.40703316,0.313885693,1.066666667,1.488888889,5.934497399,0.50747905,-0.50747905,15,11,18.69056362,96.46453589,231.67,-0.635866338,-6.619284205,-3.269257575,2,70,0
0.5,1.377964473,18.55757951,53.00322681,1,0.25,56.25,1.25,2.25,19.65732138,-0.368859027,18.55757951,0,12.40703316,0.313885693,1.066666667,1.488888889,5.934497399,0.50747905,-0.50747905,15,11,18.69056362,96.46453589,231.67,-0.635866338,-6.619284205,-3.269257575,2,110,0
0.5,1.377964473,18.55757951,53.00322681,1,0.25,56.25,1.25,2.25,19.65732138,-0.368859027,18.55757951,0,12.40703316,0.313885693,1.066666667,1.488888889,5.934497399,0.50747905,-0.50747905,15,11,18.69056362,96.46453589,231.67,-0.635866338,-6.619284205,-3.269257575,2,150,0
0.5,1.377964473,18.55757951,53.00322681,1,0.25,56.25,1.25,2.25,19.65732138,-0.368859027,18.55757951,0,12.40703316,0.313885693,1.066666667,1.488888889,5.934497399,0.50747905,-0.50747905,15,11,18.69056362,96.46453589,231.67,-0.635866338,-6.619284205,-3.269257575,2,190,0
0.5,1.377964473,18.55757951,53.00322681,1,0.25,56.25,1.25,2.25,19.65732138,-0.368859027,18.55757951,0,12.40703316,0.313885693,1.666666667,1.916666667,5.380764831,0.341625523,-0.341625523,3,2,26.68911765,30.44135868,46.33,5.242280801,0.063611111,5.937163643,1,70,0
0.5,1.377964473,18.55757951,53.00322681,1,0.25,56.25,1.25,2.25,19.65732138,-0.368859027,18.55757951,0,12.40703316,0.313885693,1.666666667,1.916666667,5.380764831,0.341625523,-0.341625523,3,2,26.68911765,30.44135868,46.33,5.242280801,0.063611111,5.937163643,1,110,0
0.5,1.377964473,18.55757951,53.00322681,1,0.25,56.25,1.25,2.25,19.65732138,-0.368859027,18.55757951,0,12.40703316,0.313885693,1.666666667,1.916666667,5.380764831,0.341625523,-0.341625523,3,2,26.68911765,30.44135868,46.33,5.242280801,0.063611111,5.937163643,1,150,0
0.5,1.377964473,18.55757951,53.00322681,1,0.25,56.25,1.25,2.25,19.65732138,-0.368859027,18.55757951,0,12.40703316,0.313885693,1.666666667,1.916666667,5.380764831,0.341625523,-0.341625523,3,2,26.68911765,30.44135868,46.33,5.242280801,0.063611111,5.937163643,1,190,0
0.2,1.255928946,61.2616872,365.8133263,0.666666667,1.882077922,20.77102858,9.103334166,3.882077922,60.67643356,2,33.9629017,27.29878549,33.9629017,0.374141795,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,0
0.2,1.255928946,61.2616872,365.8133263,0.666666667,1.882077922,20.77102858,9.103334166,3.882077922,60.67643356,2,33.9629017,27.29878549,33.9629017,0.374141795,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110,0
0.2,1.255928946,61.2616872,365.8133263,0.666666667,1.882077922,20.77102858,9.103334166,3.882077922,60.67643356,2,33.9629017,27.29878549,33.9629017,0.374141795,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150,0
0.2,1.255928946,61.2616872,365.8133263,0.666666667,1.882077922,20.77102858,9.103334166,3.882077922,60.67643356,2,33.9629017,27.29878549,33.9629017,0.374141795,0,0,0,0,0,0,0,0,0,0,0,0,0,0,190,0
0.2,1.377964473,85.87524468,211.823789,1,2.531948052,8.818687552,3.531948052,0.926900863,83.18596902,1,16.98145085,68.89379383,85.87524468,0.375412648,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,1
0.2,1.377964473,85.87524468,211.823789,1,2.531948052,8.818687552,3.531948052,0.926900863,83.18596902,1,16.98145085,68.89379383,85.87524468,0.375412648,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110,0
0.2,1.377964473,85.87524468,211.823789,1,2.531948052,8.818687552,3.531948052,0.926900863,83.18596902,1,16.98145085,68.89379383,85.87524468,0.375412648,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150,0
0.2,1.377964473,85.87524468,211.823789,1,2.531948052,8.818687552,3.531948052,0.926900863,83.18596902,1,16.98145085,68.89379383,85.87524468,0.375412648,0,0,0,0,0,0,0,0,0,0,0,0,0,0,190,0
0.2,1.377964473,31.26763637,41.98485723,1,0.887402597,13.06155996,1.887402597,0.014286836,31.81913654,1,12.40703316,18.86060321,31.26763637,0.236824831,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,1
0.2,1.377964473,31.26763637,41.98485723,1,0.887402597,13.06155996,1.887402597,0.014286836,31.81913654,1,12.40703316,18.86060321,31.26763637,0.236824831,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110,0
